,centre_val
0,437.0
1,332.5
2,162.0
3,162.5
4,186.5
5,174.5
6,216.5
7,258.5
8,264.0
9,145.0
10,171.0
11,236.5
12,223.0
13,115.5
14,142.5
15,214.5
16,215.0
17,152.0
18,124.5
19,172.0
20,190.5
21,215.0
22,236.0
23,255.0
24,267.0
25,276.0
26,282.5
27,288.0
28,294.0
29,193.5
