,,0
80,0,0.57421875
80,1,0.57421875
80,2,0.59375
80,3,0.609375
80,4,0.62890625
80,5,0.57421875
80,6,0.57421875
80,7,0.57421875
80,8,0.59375
80,9,0.59375
80,10,0.59375
80,11,0.59375
80,12,0.609375
80,13,0.609375
80,14,0.57421875
80,15,0.59375
80,16,0.59375
80,17,0.609375
80,18,0.57421875
70,0,0.609375
70,1,0.9921875
70,2,0.9921875
70,3,0.9921875
70,4,0.9921875
70,5,0.9921875
70,6,0.9921875
70,7,0.9921875
70,8,0.9921875
70,9,0.9921875
70,10,0.9921875
70,11,0.9921875
70,12,0.9921875
70,13,0.9921875
70,14,0.9921875
70,15,0.9921875
70,16,0.98828125
70,17,0.98828125
70,18,0.9921875
70,19,0.98828125
60,0,0.9921875
60,1,0.9921875
60,2,0.9921875
60,3,0.9921875
60,4,0.9921875
60,5,0.9921875
60,6,0.9921875
60,7,0.9921875
60,8,0.9921875
60,9,0.9921875
60,10,0.9921875
60,11,0.9921875
60,12,0.9921875
60,13,0.9921875
60,14,0.9921875
60,15,0.9921875
60,16,0.9921875
60,17,0.9921875
60,18,0.9921875
60,19,0.9921875
50,0,0.9921875
50,1,0.984375
50,2,0.984375
50,3,0.984375
50,4,0.984375
50,5,0.984375
50,6,0.984375
50,7,0.984375
50,8,0.984375
50,9,0.984375
50,10,0.984375
50,11,0.984375
50,12,0.984375
50,13,0.984375
50,14,0.984375
50,15,0.984375
50,16,0.984375
50,17,0.984375
50,18,0.984375
50,19,0.984375
40,0,0.984375
40,1,0.984375
40,2,0.984375
40,3,0.984375
40,4,0.984375
40,5,0.984375
40,6,0.984375
40,7,0.984375
40,8,0.984375
40,9,0.984375
40,10,0.984375
40,11,0.98046875
40,12,0.984375
40,13,0.984375
40,14,0.98046875
40,15,0.984375
40,16,0.98046875
40,17,0.984375
40,18,0.984375
40,19,0.984375
30,0,0.984375
30,1,0.9765625
30,2,0.98046875
30,3,0.9765625
30,4,0.98046875
30,5,0.9765625
30,6,0.9765625
30,7,0.9765625
30,8,0.9765625
30,9,0.97265625
30,10,0.9765625
30,11,0.97265625
30,12,0.97265625
30,13,0.9765625
30,14,0.97265625
30,15,0.9765625
30,16,0.97265625
30,17,0.97265625
30,18,0.97265625
30,19,0.97265625
20,0,0.97265625
20,1,0.98046875
20,2,0.98046875
20,3,0.9765625
20,4,0.98046875
20,5,0.98046875
20,6,0.984375
20,7,0.98046875
20,8,0.98046875
20,9,0.98046875
20,10,0.98046875
20,11,0.98046875
20,12,0.98046875
20,13,0.98046875
20,14,0.98046875
20,15,0.98046875
20,16,0.98046875
20,17,0.98046875
20,18,0.98046875
20,19,0.98046875
10,0,0.98046875
10,1,0.98046875
10,2,0.98046875
10,3,0.98046875
10,4,0.98046875
10,5,0.98046875
10,6,0.98046875
10,7,0.98046875
10,8,0.98046875
10,9,0.98046875
10,10,0.98046875
10,11,0.98046875
10,12,0.98046875
10,13,0.98046875
10,14,0.98046875
10,15,0.98046875
10,16,0.98046875
10,17,0.98046875
10,18,0.98046875
10,19,0.98046875
